TRIP;MODE;ALFA;BETA;CL;CD;CM25;CYAW;CROLL;CY
0;ALFA;-4.0;0.0;-0.10644938271604937;0.07338456790123457;0.1476388888888889;0.00101820987654321;-0.0032839506172839504;-0.0017333333333333333
0;ALFA;-3.0;0.0;0.003822641509433986;0.0688622641509434;0.14502264150943397;0.0008028301886792452;-0.0035367924528301887;-0.001743710691823899
0;ALFA;-2.0;0.0;0.11129606060606059;0.06592151515151513;0.12506575757575755;0.0005042424242424243;-0.0031454545454545455;-0.0006269696969696969
0;ALFA;-1.0;0.0;0.22246666666666665;0.06325535168195719;0.12362782874617738;0.00044892966360856267;-0.003567584097859327;-0.0007281345565749236
0;ALFA;0.0;0.0;0.336100408997955;0.06353026584867076;0.0989799591002045;0.0003094069529652352;-0.0028752556237218816;-0.0009022494887525563
0;ALFA;1.0;0.0;0.4493864197530864;0.06437242798353908;0.09417037037037036;0.0004333333333333333;-0.004091358024691358;-0.000403292181069959
0;ALFA;2.0;0.0;0.5573688205128204;0.06568625641025642;0.08454461538461538;0.00032830769230769225;-0.0029303589743589742;0.00022328205128205122
0;ALFA;3.0;0.0;0.6682921263057929;0.07002090598290599;0.06810594966761634;0.0005368390313390313;-0.0034392535612535616;0.0005571657169990503
0;ALFA;4.0;0.0;0.7792154320987654;0.07435555555555555;0.05166728395061728;0.0007453703703703703;-0.0039481481481481485;0.0008910493827160493
0;ALFA;5.0;0.0;0.8882708333333333;0.08005833333333333;0.039141666666666665;0.0007875;-0.0039791666666666664;0.0008625000000000001
0;ALFA;6.0;0.0;0.9964641025641026;0.08682820512820512;0.018662564102564096;0.0007764102564102565;-0.003569230769230769;0.0008984615384615385
0;ALFA;7.0;0.0;1.1047277951933123;0.0956496342737722;-0.011878369905956128;0.0007853709508881923;-0.0033040752351097174;0.0005065830721003129
0;ALFA;8.0;0.0;1.2125580246913579;0.10547469135802467;-0.03870493827160491;0.0008277777777777773;-0.0032;-0.0003419753086419751
0;ALFA;9.0;0.0;1.3186559633027521;0.11698960244648318;-0.06959694189602447;0.0013030581039755352;-0.003188990825688073;-0.00048685015290519896
0;ALFA;10.0;0.0;1.4215;0.12946666666666665;-0.10326666666666666;0.0009666666666666666;-0.0030666666666666668;0.0004
0;ALFA;11.0;0.0;1.5183704641350213;0.14208902953586497;-0.13798523206751057;0.0008029535864978904;-0.0017877637130801686;-2.8270042194092823e-05
0;ALFA;12.0;0.0;1.615213163481953;0.15597303609341823;-0.16228237791932054;0.0012078556263269632;-0.0024673036093418267;-1.0828025477706003e-05
0;ALFA;13.0;0.0;1.708176758409786;0.1732308868501529;-0.19927737003058105;0.0014608562691131497;-0.002194189602446483;-0.0012293577981651361
0;ALFA;14.0;0.0;1.7928220125786165;0.19167232704402515;-0.22471635220125785;0.0012496855345911948;-0.0023056603773584914;0.002003773584905661
0;ALFA;15.0;0.0;1.8668374149659863;0.21048095238095235;-0.2529707482993197;0.0011095238095238107;-0.001141496598639457;0.0013319727891156466
0;ALFA;15.5;0.0;1.8847484848484848;0.22429212121212125;-0.27250666666666673;0.00038787878787878525;-0.00268848484848486;-0.0013375757575757733
0;ALFA;16.0;0.0;1.8853666666666666;0.24323921568627455;-0.2986196078431373;-0.00047450980392156985;-0.00688235294117648;-0.007370588235294134
0;ALFA;16.5;0.0;1.8773658333333332;0.2623958333333334;-0.31853500000000007;-0.00022958333333333077;-0.006593333333333321;-0.006769999999999978
0;ALFA;17.0;0.0;1.8591874396135268;0.2821357487922706;-0.333895652173913;0.0004913043478260862;-0.005009661835748814;-0.00034975845410627963
0;ALFA;17.5;0.0;1.8749823293172692;0.29761285140562255;-0.34646465863453824;0.00037951807228915667;-0.006431325301204811;-0.0018473895582329387
0;ALFA;18.0;0.0;1.8760393939393938;0.31535151515151516;-0.3611636363636364;0.0013575757575757558;0.0025757575757575646;-0.0009848484848484916
0;ALFA;18.5;0.0;1.836266666666666;0.3335333333333332;-0.31563333333333365;0.004349999999999993;0.02124999999999988;0.009583333333333333
6;ALFA;-4.0;0.0;-0.12290093457943925;0.07525451713395638;0.1408171339563863;0.0011109034267912773;-0.0035672897196261685;-0.0011766355140186916
6;ALFA;-3.0;0.0;-0.012537654320987678;0.07053858024691359;0.1355848765432099;0.0008308641975308643;-0.00439567901234568;-0.0012916666666666669
6;ALFA;-2.0;0.0;0.0934440366972477;0.06765749235474006;0.12746483180428134;0.0005730886850152905;-0.0039418960244648315;-0.0004128440366972477
